ID,firstName,lastName,email,phone,address,membershipDate,isActive,createdAt,createdBy,modifiedAt,modifiedBy
a1a1b1c1-d1e1-41a1-a1b1-c1d1e1a1a1b1,Rahul,Sharma,rahul.sharma@example.com,+919812345601,"Bangalore, India",2023-01-15,true,2025-10-27T10:00:00Z,admin,2025-10-27T10:00:00Z,admin
b2b2c2d2-e2f2-42b2-b2c2-d2e2f2b2b2c2,Priya,Menon,priya.menon@example.com,+919812345602,"Hyderabad, India",2023-02-20,true,2025-10-27T10:00:00Z,admin,2025-10-27T10:00:00Z,admin
c3c3d3e3-f3a3-43c3-c3d3-e3f3a3c3c3d3,Amit,Patel,amit.patel@example.com,+919812345603,"Ahmedabad, India",2023-03-10,true,2025-10-27T10:00:00Z,admin,2025-10-27T10:00:00Z,admin
d4d4e4f4-a4b4-44d4-d4e4-f4a4b4d4d4e4,Sneha,Reddy,sneha.reddy@example.com,+919812345604,"Chennai, India",2023-04-05,true,2025-10-27T10:00:00Z,admin,2025-10-27T10:00:00Z,admin
e5e5f5a5-b5c5-45e5-e5f5-a5b5c5e5e5f5,Arjun,Nair,arjun.nair@example.com,+919812345605,"Kochi, India",2023-05-22,true,2025-10-27T10:00:00Z,admin,2025-10-27T10:00:00Z,admin
f6f6a6b6-c6d6-46f6-f6a6-b6c6d6f6f6a6,Meera,Desai,meera.desai@example.com,+919812345606,"Pune, India",2023-06-18,true,2025-10-27T10:00:00Z,admin,2025-10-27T10:00:00Z,admin
g7g7b7c7-d7e7-47g7-g7b7-c7d7e7g7g7b7,Ankit,Gupta,ankit.gupta@example.com,+919812345607,"Delhi, India",2023-07-12,true,2025-10-27T10:00:00Z,admin,2025-10-27T10:00:00Z,admin
h8h8c8d8-e8f8-48h8-h8c8-d8e8f8h8h8c8,Kavya,Iyer,kavya.iyer@example.com,+919812345608,"Mumbai, India",2023-08-03,true,2025-10-27T10:00:00Z,admin,2025-10-27T10:00:00Z,admin
i9i9d9e9-f9a9-49i9-i9d9-e9f9a9i9i9d9,Ravi,Kumar,ravi.kumar@example.com,+919812345609,"Lucknow, India",2023-09-09,true,2025-10-27T10:00:00Z,admin,2025-10-27T10:00:00Z,admin
j1j2k2l2-m2n2-40j2-j2k2-l2m2n2j2j2k2,Neha,Joshi,neha.joshi@example.com,+919812345610,"Jaipur, India",2023-10-01,true,2025-10-27T10:00:00Z,admin,2025-10-27T10:00:00Z,admin
